id,created_at,favorite_count,retweet_count,sentiment
459397456703549442,2014-04-24 18:24:23+00:00,311,319,0.0
458736743169024000,2014-04-22 22:38:57+00:00,366,376,0.6
457896246834102272,2014-04-20 14:59:07+00:00,248,214,0.16666666666666666
457840714672398336,2014-04-20 11:18:27+00:00,394,477,0.15000000000000002
457837590809300992,2014-04-20 11:06:02+00:00,261,217,-0.13333333333333333
457830146322354176,2014-04-20 10:36:27+00:00,101,92,0.0
457719927768502272,2014-04-20 03:18:29+00:00,122,149,0.06818181818181818
457627810610171904,2014-04-19 21:12:27+00:00,163,131,0.0
457267579468263424,2014-04-18 21:21:01+00:00,84,20,0.25
457265914753601537,2014-04-18 21:14:24+00:00,96,22,0.25
457245591974584320,2014-04-18 19:53:39+00:00,658,864,0.0
457242051751321600,2014-04-18 19:39:34+00:00,267,161,0.0
457241123908763649,2014-04-18 19:35:53+00:00,366,481,0.0
457239645332733952,2014-04-18 19:30:01+00:00,147,87,0.5
457238580398534656,2014-04-18 19:25:47+00:00,469,437,0.0
457236557385449472,2014-04-18 19:17:45+00:00,132,246,-0.05
457234572749455360,2014-04-18 19:09:52+00:00,150,305,0.13636363636363635
457228508977459200,2014-04-18 18:45:46+00:00,72,186,0.17045454545454544
457226027861684224,2014-04-18 18:35:54+00:00,157,242,0.1590909090909091
457213419033489408,2014-04-18 17:45:48+00:00,99,176,0.17045454545454544
457157295101579264,2014-04-18 14:02:47+00:00,191,306,0.0
456464338962771969,2014-04-16 16:09:13+00:00,182,218,0.5
455798296557002752,2014-04-14 20:02:36+00:00,163,424,-0.0625
455754130976694273,2014-04-14 17:07:06+00:00,84,120,0.0
455699571193421824,2014-04-14 13:30:18+00:00,352,476,0.0
455430442607333376,2014-04-13 19:40:53+00:00,341,353,0.15625
1455211990532689922,2021-11-01 16:35:49+00:00,9770,949,0.0
1454826275294621697,2021-10-31 15:03:08+00:00,75347,5668,0.8
1452961309734096900,2021-10-26 11:32:25+00:00,16015,1494,0.0
1449731354103529476,2021-10-17 13:37:44+00:00,27843,1985,0.19318181818181818
1448367562690076680,2021-10-13 19:18:30+00:00,7374,804,0.0
1446923404314087427,2021-10-09 19:39:56+00:00,29070,3249,0.7
1446230081412677636,2021-10-07 21:44:55+00:00,22414,2120,0.0
1445094628965900291,2021-10-04 18:33:02+00:00,48782,4931,0.0
1444347986025357320,2021-10-02 17:06:09+00:00,22029,2267,0.0
1443889932091731969,2021-10-01 10:46:00+00:00,23981,1809,0.3666666666666667
1440045091976929295,2021-09-20 20:07:59+00:00,39268,3341,0.0
1438982304936906756,2021-09-17 21:44:51+00:00,25791,1733,0.0
1436206097656958976,2021-09-10 05:53:11+00:00,20809,2459,0.0
1435712480194539520,2021-09-08 21:11:44+00:00,557,70,0.0
1428556365539201029,2021-08-20 03:15:53+00:00,51886,8137,0.0
1428506928657862663,2021-08-19 23:59:26+00:00,13099,1939,0.13636363636363635
1424717859742273550,2021-08-09 13:03:02+00:00,6334,796,0.3
1424717853245251595,2021-08-09 13:03:00+00:00,6795,723,0.0
1424717844609130501,2021-08-09 13:02:58+00:00,2615,235,0.0
1424717838317768713,2021-08-09 13:02:57+00:00,2566,257,-0.325
1424717832382820359,2021-08-09 13:02:55+00:00,2113,185,0.0
1424717825013387266,2021-08-09 13:02:54+00:00,2166,182,0.0
1424717817979486212,2021-08-09 13:02:52+00:00,2747,289,-0.16666666666666666
1424717811893641217,2021-08-09 13:02:50+00:00,3145,301,0.0
1424717805367222279,2021-08-09 13:02:49+00:00,39222,5244,0.0
1420829994545262592,2021-07-29 19:34:03+00:00,66749,4571,0.0
1420120550756831233,2021-07-27 20:34:58+00:00,4903,656,0.0
1416793350750056448,2021-07-18 16:13:52+00:00,20027,1699,-0.2
1412548803119435780,2021-07-06 23:07:33+00:00,43610,3235,0.0
1411104242367143948,2021-07-02 23:27:23+00:00,3029,147,-0.05
1411104240383168512,2021-07-02 23:27:22+00:00,15585,1642,0.0
1410955913096216581,2021-07-02 13:37:58+00:00,11731,1273,0.0
1405954541909069826,2021-06-18 18:24:18+00:00,53424,5026,0.0
1405211406123864066,2021-06-16 17:11:21+00:00,14218,1134,0.0
1404731755064659970,2021-06-15 09:25:23+00:00,31858,3539,0.0
1404193233748512768,2021-06-13 21:45:30+00:00,54683,5129,0.0
1403109795977125908,2021-06-10 22:00:18+00:00,5289,861,0.0
1401992031073886212,2021-06-07 19:58:42+00:00,62395,6698,0.13636363636363635
1397651493755498499,2021-05-26 20:30:57+00:00,39971,3659,0.0
1397627034621423617,2021-05-26 18:53:46+00:00,47990,4243,1.0
1393241127420039169,2021-05-14 16:25:44+00:00,80853,5340,0.13636363636363635
1391073650971926532,2021-05-08 16:52:57+00:00,78282,9548,0.0
1387413976296919041,2021-04-28 14:30:43+00:00,14887,1187,-0.05
1382935987681116160,2021-04-16 05:56:47+00:00,188434,14363,0.0
1379210038141665281,2021-04-05 23:11:12+00:00,89562,3567,0.0
1377618168705859585,2021-04-01 13:45:40+00:00,30716,2065,0.0
1375118425362628613,2021-03-25 16:12:35+00:00,56049,4583,0.0
1371884988371771399,2021-03-16 18:04:04+00:00,48294,4476,0.0
1371125797671538688,2021-03-14 15:47:19+00:00,78558,6177,0.0
1368715658981163008,2021-03-08 00:10:17+00:00,21893,1664,-0.4
1366448694111973381,2021-03-01 18:02:10+00:00,106049,11727,0.0
1365523849249517568,2021-02-27 04:47:10+00:00,38020,2908,0.25
1363595197926539268,2021-02-21 21:03:24+00:00,62733,6042,0.0
1362859869418770432,2021-02-19 20:21:28+00:00,27620,1977,0.0
1362446840164139009,2021-02-18 17:00:14+00:00,59483,5371,1.0
1361704766577991683,2021-02-16 15:51:30+00:00,131673,6401,0.0
1360470410479943684,2021-02-13 06:06:36+00:00,71572,2740,0.0
1357503279475920897,2021-02-05 01:36:17+00:00,9591,523,-0.09841269841269842
1357503277722718212,2021-02-05 01:36:17+00:00,29867,3173,0.0
1356308401790328834,2021-02-01 18:28:16+00:00,14588,819,0.8
1354702642019233795,2021-01-28 08:07:33+00:00,6408,304,0.1
1354702641008410626,2021-01-28 08:07:33+00:00,7670,444,0.25
1354702640085676035,2021-01-28 08:07:33+00:00,3478,231,0.5
1354702639007739905,2021-01-28 08:07:32+00:00,18917,1971,0.13636363636363635
1353404686854807552,2021-01-24 18:09:57+00:00,13534,925,0.0
1353402390473535488,2021-01-24 18:00:49+00:00,47039,3839,0.0
1351186913840009219,2021-01-18 15:17:18+00:00,35273,1983,0.0
1350912868624035842,2021-01-17 21:08:21+00:00,41113,4821,0.0
1349831846247477250,2021-01-14 21:32:45+00:00,15657,1632,0.20833333333333334
1349572805122113540,2021-01-14 04:23:25+00:00,56355,5000,0.07857142857142857
1349505863237529601,2021-01-13 23:57:25+00:00,43447,2829,0.0
1347673670894800898,2021-01-08 22:36:56+00:00,24370,1353,0.4
1347673218182643715,2021-01-08 22:35:08+00:00,11645,1081,0.2
1345377367947005955,2021-01-02 14:32:15+00:00,64959,6145,0.10833333333333336
1326607188178006016,2020-11-11 19:26:15+00:00,10172,924,-0.3125
1325493014941216768,2020-11-08 17:38:55+00:00,69013,3777,0.0
1317251873687113730,2020-10-16 23:51:34+00:00,25192,2227,0.0
1308618501062422528,2020-09-23 04:05:38+00:00,43490,5007,0.0
1308617112722632704,2020-09-23 04:00:07+00:00,18906,2343,0.0
1308513116775350272,2020-09-22 21:06:52+00:00,12823,1777,0.0
1296476645650567169,2020-08-20 15:58:14+00:00,7541,670,0.0
1295846581258686464,2020-08-18 22:14:35+00:00,17343,1442,0.0
1291831728009441280,2020-08-07 20:20:59+00:00,20814,1844,-0.03181818181818183
1291176823557099520,2020-08-06 00:58:38+00:00,52250,4761,0.0
1289406715667111936,2020-08-01 03:44:51+00:00,12729,1055,0.0
1286057855422881792,2020-07-22 21:57:41+00:00,30308,2397,0.0
